drug_name,side_effects,generic_name
Paxil,"mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call ",paroxetine
venlafaxine,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",venlafaxine
mirtazapine,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call ",mirtazapine
paroxetine,"mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call ",paroxetine
Alprazolam Intensol,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Alprazolam Oral Solution
lamotrigine,"mood or behavior changes, depression, anxiety , or if you feel agitated, hostile, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Lamotrigine may cause serious side effects. Call ",lamotrigine
tramadol,"noisy breathing, sighing, shallow breathing, breathing that stops during sleep; a slow heart rate or weak pulse; a light-headed feeling, like you might pass out; seizure (convulsions); or low cortisol levels - nausea , vomiting , loss of appetite, dizziness, worsening tiredness or weakness. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea . Serious breathing problems may be more likely in older adults and people who are debilitated or have wasting syndrome or chronic breathing disorders. Common side effects of tramadol may include: constipation ; nausea and vomiting; stomach pain; dizziness; drowsiness; tiredness; headache ; itching.",tramadol
risperidone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",risperidone (oral)
Tranxene,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",clorazepate (oral route)
Lorazepam Intensol,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Lorazepam Intensol can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Lorazepam Intensol may cause serious side effects. Call ",lorazepam (oral)
clorazepate,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Clorazepate can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Tell ",clorazepate
doxepin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ","doxepin (capsules, oral concentrate)"
oxazepam,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Oxazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Oxazepam may cause serious side effects. Call ",oxazepam
Paxil CR,"mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Paxil CR may cause serious side effects. Call ",paroxetine
amitriptyline / perphenazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",amitriptyline and perphenazine
chlordiazepoxide,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Chlordiazepoxide can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Chlordiazepoxide may cause serious side effects. Call ",chlordiazepoxide
Diazepam Intensol,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",diazepam (oral route)
Loreev XR,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Loreev XR can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Loreev XR may cause serious side effects. Call ",lorazepam (oral)
oxcarbazepine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Oxcarbazepine can reduce the sodium in your body to dangerously low levels, which can cause a life-threatening electrolyte imbalance. Call ",oxcarbazepine
Pexeva,"mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Pexeva may cause serious side effects. Call ",paroxetine
phenytoin,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Report any new or worsening symptoms to ",phenytoin (oral)
prochlorperazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of prochlorperazine can cause a serious movement disorder that may not be reversible. The longer you use prochlorperazine, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Prochlorperazine may cause serious side effects. Call ",prochlorperazine (oral/injection)
amitriptyline / chlordiazepoxide,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Amitriptyline and chlordiazepoxide can slow or stop your breathing, especially if you have recently used an opioid medication, alcohol, or other drugs that can slow your breathing. A person caring for you should seek emergency medical attention if you have weak or shallow breathing, if you are hard to wake up, or if you stop breathing. Report any new or worsening symptoms to ",amitriptyline and chlordiazepoxide
Compro,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of prochlorperazine can cause a serious movement disorder that may not be reversible. The longer you use Compro, the more likely you are to develop this disorder, especially if you are a diabetic or an older adult. Compro may cause serious side effects. Call ",prochlorperazine (rectal)
meprobamate,"feelings of extreme happiness, feeling restless or excited; thoughts about suicide or hurting yourself; fast or pounding heartbeats; a light-headed feeling, like you might pass out; swelling in your hands, ankles, or feet; a red, itchy rash (may be only in your groin area); unusual bruising; or sudden fever, chills, sore throat, weakness. Common side effects of meprobamate may include: drowsiness, weakness; problems with balance or muscle movement; headache , dizziness; bruising; numbness or tingling; blurred vision; or nausea , vomiting , diarrhea .",meprobamate
nefazodone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",nefazodone
Tranxene T-Tab,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Tranxene T-Tab can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Tell ",clorazepate
trifluoperazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of trifluoperazine can cause a serious movement disorder that may not be reversible. The longer you use trifluoperazine, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Trifluoperazine may cause serious side effects. Call ",trifluoperazine
vilazodone,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",vilazodone
Singulair,"hives , blisters, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Tell ",montelukast
montelukast,"hives , blisters, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Tell ",montelukast
prednisone,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",prednisone
Trelegy Ellipta,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ","fluticasone, umeclidinium, and vilanterol"
Fasenra,"hives , rash; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Call ",benralizumab
Nucala,"hives, rash; wheezing, chest tightness, difficult breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat. Call ",mepolizumab
benralizumab,"Benralizumab may cause serious side effects, including: allergic (hypersensitivity) reactions, including anaphylaxis. Serious allergic reactions can happen after you get your benralizumab injection. Allergic reactions can sometimes happen hours or days after you get your injection. Tell your healthcare provider or get emergency help right away if you have any of the following symptoms of an allergic reaction: swelling of your face, mouth and tongue breathing problems fainting, dizziness, feeling lightheaded (low blood pressure) rash hives The most common side effects of benralizumab include headache and sore throat. These are not all the possible side effects of benralizumab. Call ",benralizumab Brand name: Fasenra
fluticasone / umeclidinium / vilanterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fluticasone, umeclidinium, and vilanterol may cause serious side effects. Call ","fluticasone, umeclidinium, and vilanterol"
mepolizumab,"hives , rash; wheezing, chest tightness, difficult breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat. Mepolizumab may cause serious side effects. Call ",mepolizumab
tezepelumab,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during or after the injection. Tell your caregiver if you feel dizzy, nauseated, light-headed, itchy, short of breath, or if you have swelling in your face. Common side effects of tezepelumab may include: sore throat ; or joint or back pain .",tezepelumab
Tezspire,"Tezspire may cause serious side effects, including: severe allergic reactions. Call your healthcare provider or get emergency medical care if you get any of the following symptoms of allergic reaction: rash hives breathing problems red, itchy, swollen, or inflamed eyes The most common side effects include: sore throat (pharyngitis) joint pain (arthralgia) back pain These are not all of the possible side effects. Call ",tezepelumab-ekko
Dulera,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",formoterol and mometasone
Atrovent,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",ipratropium (inhalation route)
Breo Ellipta,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",fluticasone and vilanterol
ipratropium,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. You may need to use a different bronchodilator medication if you have an allergic reaction to ipratropium inhalation. Ipratropium inhalation may cause serious side effects. Call ",ipratropium inhalation
methylprednisolone,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",methylprednisolone (oral)
Atrovent HFA,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. You may need to use a different bronchodilator medication if you have an allergic reaction to ipratropium. Call ",ipratropium inhalation
dexamethasone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",dexamethasone (oral)
Alvesco,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",ciclesonide (inhalation)
levalbuterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Levalbuterol inhalation may cause serious side effects. Call ",levalbuterol inhalation
Ipratropium Inhalation Solution,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ipratropium Inhalation Solution
Rayos,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",prednisone
fluticasone / vilanterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fluticasone and vilanterol may cause serious side effects. Call ",fluticasone and vilanterol
formoterol / mometasone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Formoterol and mometasone may cause serious side effects. Call ",formoterol and mometasone
Medrol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Medrol may cause serious side effects. Call ",methylprednisolone (oral)
MethylPREDNISolone Dose Pack,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. MethylPREDNISolone Dose Pack may cause serious side effects. Call ",methylprednisolone (oral)
triamcinolone,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",triamcinolone (oral)
Dexamethasone Intensol,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",dexamethasone (oral route)
Kenalog-40,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Kenalog-40 may cause serious side effects. Call ",triamcinolone (injection)
Medrol Dosepak,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Medrol Dosepak may cause serious side effects. Call ",methylprednisolone (oral)
Depo-Medrol,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Depo-Medrol may cause serious side effects. Call ",methylprednisolone (injection)
Solu-Medrol,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Solu-MEDROL may cause serious side effects. Call ",methylprednisolone (injection)
Xopenex,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",levalbuterol inhalation
Xopenex HFA,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Xopenex HFA may cause serious side effects. Call ",levalbuterol inhalation
caffeine,"difficulty sleeping (insomnia) nervousness or anxiety irritability nausea headache Seek medical attention right away if any of these severe side effects occur: serious allergic reactions (difficult breathing, chest tightness, swelling of the mouth, face, lips, or tongue, rash, hives, or itching) diarrhea vomiting rapid heart rate or palpitations increased blood pressure chest pain This is not a complete list of all side effects that may occur. Call your health care provider for medical advice about side effects. Caffeine side effects","Caffeine Brand names: NoDoz , Vivarin , Revive, Stay Awake , Enerjets, Lucidex"
ciclesonide,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ciclesonide may cause serious side effects. Call ",ciclesonide (inhalation)
De-Sone LA,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. De-Sone LA may cause serious side effects. Call ",dexamethasone (injection)
dyphylline / guaifenesin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Dyphylline and guaifenesin may cause serious side effects. Call ",dyphylline and guaifenesin
Ipratropium Inhalation Aerosol,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Ipratropium Inhalation Aerosol
Cinqair,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during or shortly after the injection. Tell your caregiver if you feel dizzy, nauseated, light-headed, itchy, short of breath, or if you have swelling in your face. Common Cinqair side effects may include: sore throat ; or muscle pain.",reslizumab
reslizumab,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during or shortly after the injection. Tell your caregiver if you feel dizzy, nauseated, light-headed, itchy, short of breath, or if you have swelling in your face. Common side effects of reslizumab may include: sore throat ; or muscle pain.",reslizumab
salbutamol,"Serious side effects of salbutamol include: Allergic reactions. If you have an allergic reaction, stop taking this medication and see a doctor straight away. Signs of an allergic reaction include swelling of the face, lips, mouth, tongue or throat which may cause difficulty in swallowing or breathing, itchy rash, feeling faint and light headed (due to low blood pressure), and collapse. Talk to ","salbutamol Brand names: Ventolin, Airomir, Asthalin, Asmatol, Azmasol, ... show all 8 brands SalAir, Salamol, Respigen and more"
Xopenex Concentrate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Xopenex Concentrate may cause serious side effects. Call ",levalbuterol inhalation
Difil-G Forte,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Difil-G Forte may cause serious side effects. Call ",dyphylline and guaifenesin
Lamictal,"mood or behavior changes, depression, anxiety , or if you feel agitated, hostile, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Call ",lamotrigine
Latuda,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",lurasidone
Seroquel,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",quetiapine
Abilify,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell ",aripiprazole (oral)
topiramate,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), depressed, or have thoughts about suicide or hurting yourself. Topiramate may cause serious side effects. Call ",topiramate
Vraylar,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",cariprazine
lithium,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Too much lithium in your body can cause death. Lithium toxicity can occur if you take only slightly more than a recommended dose. Stop using this medicine and call ",lithium
lurasidone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",lurasidone
Abilify Maintena,"Abilify Maintena may cause serious side effects, including: See ""Important information"" above. Stroke (cerebrovascular problems) in elderly people with dementia-related psychosis that can lead to death. Neuroleptic malignant syndrome (NMS), a serious condition that can lead to death. Call your healthcare provider or go to the nearest emergency room right away if you have some or all of the following symptoms of NMS: high fever confusion changes in pulse, heart rate, and blood pressure stiff muscles sweating Uncontrolled body movements (tardive dyskinesia). This medication may cause movements that you cannot control in your face, tongue, or other body parts. Tardive dyskinesia may not go away, even if you stop receiving Abilify Maintena. Tardive dyskinesia may also start after you stop receiving this medication. Problems with your metabolism such as: high blood sugar (hyperglycemia): Increases in blood sugar can happen in some people who receive this medication. Extremely high blood sug",aripiprazole
cariprazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cariprazine may cause serious side effects. Call ",cariprazine
Caplyta,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. High doses or long-term use of lumateperone can cause a serious movement disorder that may not be reversible. The longer you use Caplyta, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Call ",lumateperone
lumateperone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. People with depression or mental illness may have thoughts about suicide. Some young people may have increased suicidal thoughts when first starting a medicine to treat depression. Stay alert to changes in your mood or symptoms. Your family or caregivers should also watch for sudden changes in your behavior. High doses or long-term use of lumateperone can cause a serious movement disorder that may not be reversible. The longer you use lumateperone, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Lumateperone may cause serious side effects. Call ",lumateperone
Lybalvi,"Lybalvi may cause serious side effects, including: See Important information Stroke (cerebrovascular problems) in elderly people with dementia-related psychosis that can lead to death. Opioid withdrawal. Do not take Lybalvi for at least 7 days after you stopped taking short-acting opioids and for at least 14 days after you stopped taking long-acting opioids. One of the medicines in Lybalvi (samidorphan) can cause opioid withdrawal that may be severe and cause hospitalization in people who are physically dependent on opioids. Talk to your healthcare provider if you have questions about the type of opioid you take. Risk of life-threatening opioid overdose. You should not start taking opioids for at least 5 days after you stop treatment with Lybalvi. One of the medicines in Lybalvi (samidorphan) can increase your chance of having an opioid overdose that can cause death if you take opioids during treatment or within 5 days after stopping treatment with Lybalvi. You can accidentally overdos",olanzapine and samidorphan
quetiapine,"Serious serious side effects of quetiapine include: See “Important information” above stroke that can lead to death can happen in elderly people with dementia who take medicines like this neuroleptic malignant syndrome (NMS). NMS is a rare but very serious condition that can happen in people who take antipsychotic medicines, including quetiapine. NMS can cause death and must be treated in a hospital. Call your healthcare provider right away if you become severely ill and have some or all of these symptoms: high fever excessive sweating rigid muscles confusion changes in your breathing, heartbeat, and blood pressure falls can happen in some people who take this medication. These falls may cause serious injuries. high blood sugar (hyperglycemia). High blood sugar can happen if you have diabetes already or if you have never had diabetes. High blood sugar could lead to: build-up of acid in your blood due to ketones (ketoacidosis) coma death Increases in blood sugar can happen in some peopl","quetiapine Brand names: Seroquel , Seroquel XR"
Depakote,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",divalproex sodium
Seroquel XR,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Seroquel XR may cause serious side effects. Call ",quetiapine
divalproex sodium,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",divalproex sodium
Risperdal,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",risperidone (oral)
Geodon,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using ziprasidone. Also call ",ziprasidone
sertraline,"skin rash or hives (with or without fever or joint pain); difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to ",sertraline
Zyprexa,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. High doses or long-term use of olanzapine can cause a serious movement disorder that may not be reversible. The longer you use Zyprexa, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Call ",olanzapine (oral)
aripiprazole,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell ",aripiprazole (oral)
Depakote ER,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",divalproex sodium
olanzapine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. High doses or long-term use of olanzapine can cause a serious movement disorder that may not be reversible. The longer you use olanzapine, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Olanzapine may cause serious side effects. Call ",olanzapine (oral)
Saphris,"hives ; fast heartbeats, feeling light-headed; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of Saphris can cause a serious movement disorder that may not be reversible. The longer you use Saphris, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Call ",asenapine (sublingual)
citalopram,"hives , rash, blisters; fever, joint pain; difficult breathing; swelling of your face, lips, tongue, or throat. Tell ",citalopram
carbamazepine,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Report any new or worsening symptoms to ",carbamazepine (oral)
ziprasidone,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Ziprasidone may cause serious side effects. Stop using ziprasidone and call ",ziprasidone (oral/injection)
Symbyax,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have symptoms of a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, unusual bruising, or jaundice (yellowing of your skin or eyes). High doses or long-term use of Symbyax can cause a serious movement disorder that may not be reversible, especially in women and older adults. Tell ",fluoxetine and olanzapine
valproic acid,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",valproic acid (oral/injection)
fluoxetine / olanzapine,"skin rash or hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have symptoms of a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, unusual bruising, or jaundice (yellowing of your skin or eyes). High doses or long-term use of fluoxetine and olanzapine can cause a serious movement disorder that may not be reversible, especially in women and older adults. Tell ",fluoxetine and olanzapine
Lamictal ODT,"mood or behavior changes, depression, anxiety , or if you feel agitated, hostile, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Lamictal ODT may cause serious side effects. Call ",lamotrigine
levetiracetam,"mood or behavior changes, depression, anxiety , panic attacks , trouble sleeping, or if you feel agitated, hostile, irritable, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Levetiracetam may cause serious side effects. Call ",levetiracetam (oral/injection)
Lithobid,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Too much Lithobid in your body can cause death. This medicine toxicity can occur if you take only slightly more than a recommended dose. Stop using Lithobid and call ",lithium
Zyprexa Zydis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. High doses or long-term use of olanzapine can cause a serious movement disorder that may not be reversible. The longer you use Zyprexa Zydis, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Zyprexa Zydis may cause serious side effects. Call ",olanzapine (oral)
asenapine,"hives ; fast heartbeats, feeling light-headed; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of asenapine can cause a serious movement disorder that may not be reversible. The longer you use asenapine, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Asenapine may cause serious side effects. Call ",asenapine (sublingual)
Equetro,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Report any new or worsening symptoms to ",carbamazepine (oral)
iloperidone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of iloperidone can cause a serious movement disorder that may not be reversible. The longer you use iloperidone, the more likely you are to develop this disorder, especially if you are an older adult. Iloperidone may cause serious side effects. Call ",iloperidone
Lamictal CD,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",lamotrigine (oral route)
paliperidone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop taking paliperidone and call ",paliperidone (oral)
perphenazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. High doses or long-term use of perphenazine can cause a serious movement disorder that may not be reversible. The longer you use perphenazine, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Perphenazine may cause serious side effects. Call ",perphenazine
Risperdal Consta,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",risperidone (injection)
tiagabine,"hives ; fever; swollen glands; painful sores in or around your eyes or mouth; difficulty breathing; swelling of your face, lips, tongue, or throat. New seizures have occurred in some people who are not epileptic who take medicine for partial seizures. Call ",tiagabine
Abilify MyCite,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Abilify MyCite Maintenance Kit may cause serious side effects. Call ",aripiprazole (oral with sensor)
Depakote Sprinkles,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",divalproex sodium
Zyprexa Intramuscular,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",olanzapine (intramuscular route)
olanzapine / samidorphan,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Long-term use of olanzapine and samidorphan can cause a serious movement disorder that may not be reversible. The longer you use olanzapine and samidorphan, the more likely you are to develop this disorder, especially if you are a woman or an older adult. Samidorphan can make you more sensitive to the effects of opioid medicine, and you could have a fatal opioid overdose. If you use opioid medicine, a person caring for you should seek emergency medical attention if you have severe dizziness or drowsiness, confusion, slow breathing with long pauses, or if you are hard to wake up. Olanzapine and samidorphan may cause serious side effects. Call ",olanzapine and samidorphan
Mucinex,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects of Mucinex may include: dizziness; headache; rash; nausea; vomiting; stomach upset.",guaifenesin
azithromycin,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using azithromycin. Call ",azithromycin
Azithromycin Dose Pack,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Azithromycin 3 Day Dose Pack may cause serious side effects. Call ",azithromycin (oral/injection)
amoxicillin,"severe stomach pain; or diarrhea that is watery or bloody (even if it occurs months after your last dose). Common amoxicillin side effects may include: nausea , vomiting , diarrhea; or rash.",amoxicillin
